順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
118,川越　誠司,中日,0.212,18,36,33,3,7,1,0,0,8,1,0,0,0,0,3,0,0,8,1,0.278,0.242
119,磯村　嘉孝,広島,0.207,25,32,29,2,6,1,0,1,10,4,0,0,1,0,1,0,1,10,2,0.258,0.345
120,廣岡　大志,巨人,0.214,9,30,28,5,6,0,0,1,9,2,1,0,0,1,0,0,1,8,0,0.233,0.321
121,赤羽　由紘,ヤクルト,0.174,29,27,23,5,4,0,0,1,7,3,0,0,1,1,1,0,1,12,0,0.231,0.304
122,石垣　雅海,中日,0.087,22,26,23,1,2,0,0,0,2,0,0,0,1,0,2,0,0,6,0,0.16,0.087
122,福田　永将,中日,0.15,19,26,20,3,3,0,0,1,6,1,0,0,0,0,5,2,1,4,0,0.346,0.3
124,藤田　一也,DeNA,0.286,23,24,21,0,6,1,0,0,7,0,0,0,1,0,2,0,0,5,0,0.348,0.333
125,北村　恵吾,ヤクルト,0.19,12,23,21,4,4,0,0,1,7,7,0,0,0,2,0,0,0,5,1,0.174,0.333
126,伊藤　康祐,中日,0.15,34,22,20,2,3,0,0,0,3,0,1,1,2,0,0,0,0,3,1,0.15,0.15
126,田村　俊介,広島,0.364,10,22,22,3,8,2,0,0,10,0,0,0,0,0,0,0,0,6,1,0.364,0.455
128,三ツ俣　大樹,ヤクルト,0.143,18,21,14,2,2,0,0,0,2,2,0,0,5,0,2,0,0,8,0,0.25,0.143
129,中村　奨成,広島,0.15,18,20,20,2,3,0,0,0,3,0,0,1,0,0,0,0,0,7,0,0.15,0.15
130,中島　宏之,巨人,0.278,8,19,18,1,5,0,0,0,5,0,0,0,0,0,1,0,0,5,1,0.316,0.278
131,若林　晃弘,巨人,0.125,21,18,16,3,2,0,0,0,2,0,1,0,0,0,2,1,0,5,0,0.222,0.125
132,三好　大倫,中日,0.154,30,17,13,6,2,1,0,0,3,0,3,2,1,0,1,0,2,4,0,0.313,0.231
132,松田　宣浩,巨人,0.063,12,17,16,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0.063,0.063
132,板山　祐太郎,阪神,0.059,12,17,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0.059,0.059
135,萩尾　匡也,巨人,0.063,11,16,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0.063,0.063
136,曽根　海成,広島,0.143,39,15,14,6,2,1,0,0,3,0,1,1,0,0,1,0,0,3,0,0.2,0.214
137,森　敬斗,DeNA,0.167,9,14,12,0,2,0,0,0,2,1,1,0,1,0,1,0,0,1,0,0.231,0.167
138,増田　大輝,巨人,0.3,33,13,10,4,3,1,0,0,4,1,4,2,2,0,1,0,0,3,0,0.364,0.4
138,松原　聖弥,巨人,0.0,21,13,12,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0.077,0.0
140,長坂　拳弥,阪神,0.222,10,12,9,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0.222,0.222
140,西浦　直亨,ヤクルト,0.167,6,12,12,1,2,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0.167,0.167
142,堂上　直倫,中日,0.222,12,10,9,0,2,1,0,0,3,0,0,0,0,0,1,0,0,1,1,0.3,0.333
143,熊谷　敬宥,阪神,0.333,26,9,6,7,2,0,0,0,2,0,3,1,1,0,2,0,0,2,0,0.5,0.333
143,小林　誠司,巨人,0.125,21,9,8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.125,0.125
143,西浦　直亨,DeNA,0.111,13,9,9,2,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0.111,0.111
146,加藤　匠馬,中日,0.0,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0
146,西田　明央,ヤクルト,0.125,8,8,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.125,0.125
146,アンバギー,DeNA,0.125,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.125,0.125
149,味谷　大誠,中日,0.286,6,7,7,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.286,0.286
149,山瀬　慎之助,巨人,0.143,5,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.143,0.143
151,菊田　拡和,巨人,0.0,6,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.167,0.0
151,松本　直樹,ヤクルト,0.0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
153,奥村　展征,ヤクルト,0.5,3,5,4,2,2,1,0,0,3,1,0,0,0,1,0,0,0,2,0,0.4,0.75
154,西巻　賢二,DeNA,0.0,7,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0
154,榮枝　裕貴,阪神,0.333,2,4,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.333,0.333
156,植田　海,阪神,0.0,28,3,1,9,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0.5,0.0
156,樋口　正修,中日,0.0,7,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0
158,山浅　龍之介,中日,0.0,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
158,荒木　貴裕,ヤクルト,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
160,髙松　渡,中日,0.0,23,1,1,8,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,0.0
160,大野　奨太,中日,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
160,西村　瑠伊斗,ヤクルト,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
160,郡司　裕也,中日,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
164,益子　京右,DeNA,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
