日付,先発投手,先発捕手,投手責任,QS,HQS,投球回,失点,自責点,投球数,被安打,与四死球,奪三振,対戦相手,試合結果
9月8日(金),平良 拳太郎,伊藤 光,-,◎,◎,7.0,0,0,111,4,2,9,ヤクルト,○ 2-1
9月9日(土),石田 健大,山本 祐大,●,×,×,4.1,6,6,82,10,1,6,ヤクルト,● 1-13
9月10日(日),濵口 遥大,山本 祐大,○,◎,◎,7.1,2,2,111,5,3,6,ヤクルト,○ 6-4
9月12日(火),大貫 晋一,伊藤 光,●,◎,×,6.0,2,2,83,4,1,1,中日,● 1-3
9月13日(水),今永 昇太,山本 祐大,-,◎,◎,8.0,1,1,107,7,0,11,中日,● 1-2
9月14日(木),東 克樹,山本 祐大,○,◎,×,8.1,3,3,106,7,0,10,中日,○ 8-3
9月15日(金),平良 拳太郎,伊藤 光,○,◎,◎,7.0,1,1,98,5,1,5,ヤクルト,○ 3-1
9月16日(土),石田 健大,山本 祐大,●,×,×,4.2,4,4,81,6,1,4,ヤクルト,● 3-6
9月17日(日),濵口 遥大,山本 祐大,-,◎,×,6.0,0,0,101,3,4,7,阪神,○ 1-0
9月18日(月),大貫 晋一,伊藤 光,-,◎,×,6.0,0,0,100,1,5,7,阪神,○ 3-2
9月20日(水),東 克樹,山本 祐大,○,◎,◎,7.0,1,1,92,4,0,8,広島,○ 3-1
9月23日(土),濵口 遥大,山本 祐大,●,×,×,2.0,4,1,55,7,1,2,中日,● 3-4
9月24日(日),今永 昇太,山本 祐大,●,◎,×,6.0,3,3,101,7,2,7,巨人,● 0-6
9月25日(月),大貫 晋一,伊藤 光,○,◎,×,6.1,0,0,100,3,3,11,巨人,○ 1-0
9月26日(火),東 克樹,山本 祐大,○,◎,◎,8.0,0,0,102,5,1,6,巨人,○ 1-0
9月27日(水),坂本 裕哉,戸柱 恭孝,●,×,×,4.0,3,3,50,4,1,3,ヤクルト,● 3-11
9月29日(金),石田 健大,山本 祐大,-,×,×,4.1,3,3,73,7,1,3,阪神,○ 5-3
9月30日(土),今永 昇太,山本 祐大,-,◎,×,6.0,2,2,103,7,1,4,ヤクルト,○ 4-2
10月1日(日),大貫 晋一,伊藤 光,○,◎,◎,9.0,0,0,94,2,1,3,中日,○ 4-0
10月4日(水),東 克樹,山本 祐大,●,◎,◎,8.0,1,1,86,8,0,6,巨人,● 0-1
日付,先発投手,先発捕手,投手責任,QS,HQS,投球回,失点,自責点,投球数,被安打,与四死球,奪三振,対戦相手,試合結果
